model,method,severity,feature_delta,metric,rho,n
vit_b_16,cam,3,abs_delta_entropy,xai_iou,0.18724469789650625,45
vit_b_16,cam,3,abs_delta_saturation,xai_iou,-0.05587033913308841,45
vit_b_16,cam,3,abs_delta_colorfulness,xai_iou,0.26156279051693515,45
vit_b_16,cam,4,abs_delta_brightness,xai_iou,0.07630469426883747,45
vit_b_16,cam,4,abs_delta_contrast,xai_iou,0.0745914627912988,45
vit_b_16,cam,4,abs_delta_hf_energy,xai_iou,0.061676333191391944,45
vit_b_16,cam,4,abs_delta_edge_strength,xai_iou,0.03162888881609843,45
vit_b_16,cam,4,abs_delta_entropy,xai_iou,0.171586721827334,45
vit_b_16,cam,4,abs_delta_saturation,xai_iou,-0.18502899957417582,45
vit_b_16,cam,4,abs_delta_colorfulness,xai_iou,-0.02490774994267752,45
vit_b_16,cam,5,abs_delta_brightness,xai_iou,0.2551144821299475,45
vit_b_16,cam,5,abs_delta_contrast,xai_iou,-0.005402734383950335,45
vit_b_16,cam,5,abs_delta_hf_energy,xai_iou,-0.16840718396801285,45
vit_b_16,cam,5,abs_delta_edge_strength,xai_iou,-0.13098336530845445,45
vit_b_16,cam,5,abs_delta_entropy,xai_iou,-0.1672871048884134,45
vit_b_16,cam,5,abs_delta_saturation,xai_iou,-0.2442431263573645,45
vit_b_16,cam,5,abs_delta_colorfulness,xai_iou,0.02207214656857759,45
vit_b_16,cam,1,abs_delta_brightness,prob_drop,-0.122266139657444,45
vit_b_16,cam,1,abs_delta_contrast,prob_drop,0.07391304347826086,45
vit_b_16,cam,1,abs_delta_hf_energy,prob_drop,0.03478260869565217,45
vit_b_16,cam,1,abs_delta_edge_strength,prob_drop,-0.13188405797101446,45
vit_b_16,cam,1,abs_delta_entropy,prob_drop,-0.19828722002635044,45
vit_b_16,cam,1,abs_delta_saturation,prob_drop,-0.012911725955204217,45
vit_b_16,cam,1,abs_delta_colorfulness,prob_drop,-0.32345191040843213,45
vit_b_16,cam,2,abs_delta_brightness,prob_drop,0.010013175230566534,45
vit_b_16,cam,2,abs_delta_contrast,prob_drop,0.09249011857707509,45
vit_b_16,cam,2,abs_delta_hf_energy,prob_drop,-0.05955204216073781,45
vit_b_16,cam,2,abs_delta_edge_strength,prob_drop,-0.0035573122529644263,45
vit_b_16,cam,2,abs_delta_entropy,prob_drop,0.046245059288537546,45
vit_b_16,cam,2,abs_delta_saturation,prob_drop,0.13583662714097497,45
vit_b_16,cam,2,abs_delta_colorfulness,prob_drop,-0.2758893280632411,45
vit_b_16,cam,3,abs_delta_brightness,prob_drop,-0.0461133069828722,45
vit_b_16,cam,3,abs_delta_contrast,prob_drop,0.10131752305665347,45
vit_b_16,cam,3,abs_delta_hf_energy,prob_drop,-0.09472990777338601,45
vit_b_16,cam,3,abs_delta_edge_strength,prob_drop,-0.05375494071146245,45
vit_b_16,cam,3,abs_delta_entropy,prob_drop,0.04268774703557312,45
vit_b_16,cam,3,abs_delta_saturation,prob_drop,0.17444005270092228,45
vit_b_16,cam,3,abs_delta_colorfulness,prob_drop,-0.1932806324110672,45
vit_b_16,cam,4,abs_delta_brightness,prob_drop,-0.03188405797101449,45
vit_b_16,cam,4,abs_delta_contrast,prob_drop,0.028722002635046113,45
vit_b_16,cam,4,abs_delta_hf_energy,prob_drop,-0.02898550724637681,45
vit_b_16,cam,4,abs_delta_edge_strength,prob_drop,-0.11989459815546773,45
vit_b_16,cam,4,abs_delta_entropy,prob_drop,-0.001976284584980237,45
vit_b_16,cam,4,abs_delta_saturation,prob_drop,0.17852437417654807,45
vit_b_16,cam,4,abs_delta_colorfulness,prob_drop,-0.15046113306982872,45
vit_b_16,cam,5,abs_delta_brightness,prob_drop,-0.08801054018445321,45
vit_b_16,cam,5,abs_delta_contrast,prob_drop,-0.03214756258234519,45
vit_b_16,cam,5,abs_delta_hf_energy,prob_drop,-0.08603425559947299,45
vit_b_16,cam,5,abs_delta_edge_strength,prob_drop,-0.09314888010540184,45
vit_b_16,cam,5,abs_delta_entropy,prob_drop,0.07009222661396575,45
vit_b_16,cam,5,abs_delta_saturation,prob_drop,0.05665349143610013,45
vit_b_16,cam,5,abs_delta_colorfulness,prob_drop,-0.21054018445322792,45
vit_b_16,cam,1,abs_delta_brightness,centroid_shift,-0.15955204216073782,45
vit_b_16,cam,1,abs_delta_contrast,centroid_shift,0.026745718050065877,45
vit_b_16,cam,1,abs_delta_hf_energy,centroid_shift,-0.04361001317523057,45
vit_b_16,cam,1,abs_delta_edge_strength,centroid_shift,0.0766798418972332,45
vit_b_16,cam,1,abs_delta_entropy,centroid_shift,0.012252964426877469,45
vit_b_16,cam,1,abs_delta_saturation,centroid_shift,-0.11198945981554678,45
vit_b_16,cam,1,abs_delta_colorfulness,centroid_shift,-0.13069828722002635,45
vit_b_16,cam,2,abs_delta_brightness,centroid_shift,0.05573122529644268,45
vit_b_16,cam,2,abs_delta_contrast,centroid_shift,-0.0022397891963109352,45
vit_b_16,cam,2,abs_delta_hf_energy,centroid_shift,0.0150197628458498,45
vit_b_16,cam,2,abs_delta_edge_strength,centroid_shift,0.03438735177865612,45
vit_b_16,cam,2,abs_delta_entropy,centroid_shift,-0.11857707509881422,45
vit_b_16,cam,2,abs_delta_saturation,centroid_shift,0.040052700922266135,45
vit_b_16,cam,2,abs_delta_colorfulness,centroid_shift,0.11146245059288536,45
vit_b_16,cam,3,abs_delta_brightness,centroid_shift,0.17602108036890643,45
vit_b_16,cam,3,abs_delta_contrast,centroid_shift,-0.07852437417654808,45
vit_b_16,cam,3,abs_delta_hf_energy,centroid_shift,-0.02134387351778656,45
vit_b_16,cam,3,abs_delta_edge_strength,centroid_shift,0.029117259552042155,45
vit_b_16,cam,3,abs_delta_entropy,centroid_shift,0.08722002635046114,45
vit_b_16,cam,3,abs_delta_saturation,centroid_shift,0.20131752305665346,45
vit_b_16,cam,3,abs_delta_colorfulness,centroid_shift,0.00606060606060606,45
vit_b_16,cam,4,abs_delta_brightness,centroid_shift,-0.20065876152832673,45
vit_b_16,cam,4,abs_delta_contrast,centroid_shift,-0.23939393939393935,45
vit_b_16,cam,4,abs_delta_hf_energy,centroid_shift,-0.046508563899868245,45
vit_b_16,cam,4,abs_delta_edge_strength,centroid_shift,0.052042160737812905,45
vit_b_16,cam,4,abs_delta_entropy,centroid_shift,-0.14163372859025034,45
vit_b_16,cam,4,abs_delta_saturation,centroid_shift,0.07312252964426876,45
vit_b_16,cam,4,abs_delta_colorfulness,centroid_shift,-0.00461133069828722,45
vit_b_16,cam,5,abs_delta_brightness,centroid_shift,-0.3420289855072463,45
vit_b_16,cam,5,abs_delta_contrast,centroid_shift,0.12516469038208167,45
vit_b_16,cam,5,abs_delta_hf_energy,centroid_shift,0.1791831357048748,45
vit_b_16,cam,5,abs_delta_edge_strength,centroid_shift,0.2330698287220026,45
vit_b_16,cam,5,abs_delta_entropy,centroid_shift,-0.06824769433465086,45
vit_b_16,cam,5,abs_delta_saturation,centroid_shift,0.045059288537549404,45
vit_b_16,cam,5,abs_delta_colorfulness,centroid_shift,-0.06956521739130433,45
vit_b_16,ig,1,abs_delta_brightness,xai_iou,-0.33847167325428196,45
vit_b_16,ig,1,abs_delta_contrast,xai_iou,-0.17127799736495386,45
vit_b_16,ig,1,abs_delta_hf_energy,xai_iou,-0.29459815546772067,45
vit_b_16,ig,1,abs_delta_edge_strength,xai_iou,-0.0606060606060606,45
vit_b_16,ig,1,abs_delta_entropy,xai_iou,0.02371541501976284,45
vit_b_16,ig,1,abs_delta_saturation,xai_iou,-0.3621870882740447,45
vit_b_16,ig,1,abs_delta_colorfulness,xai_iou,0.014097496706192357,45
vit_b_16,ig,2,abs_delta_brightness,xai_iou,-0.5242596926326406,45
