model,family,wnid,name,acc_clean,acc_clean_top5,mPC_top1,mPC_top5,abs_drop,rel_drop,mce_class,rmce_class,sev_slope,prob_clean,prob_corr,drop_noise,drop_blur,drop_weather,drop_digital,acc_noise,acc_blur,acc_weather,acc_digital
resnet101,CNN,n09246464,cliff,0.7,1.0,0.34586666666666666,0.6642666666666667,0.3541333333333333,0.5059047619047619,0.6541333333333333,1.3425790660785468,-0.09093333333333334,0.5230209215776995,0.22013478580270499,0.52,0.5339999999999999,0.11299999999999999,0.291,0.18,0.166,0.587,0.409
resnet101,CNN,n02871525,bookshop,0.68,0.88,0.336,0.6125333333333334,0.34400000000000003,0.5058823529411764,0.6639999999999999,1.3041618940070223,-0.04839999999999999,0.4872201396618038,0.22662584284823964,0.3133333333333334,0.528,0.1050000000000001,0.42200000000000004,0.36666666666666664,0.152,0.575,0.258
resnet101,CNN,n04081281,restaurant,0.54,0.68,0.2677333333333333,0.43173333333333336,0.2722666666666667,0.5041975308641976,0.7322666666666666,1.032208754869124,-0.07973333333333334,0.3629676967486739,0.1667138560285597,0.2706666666666667,0.36600000000000005,0.22400000000000003,0.22800000000000004,0.2693333333333333,0.174,0.316,0.312
resnet101,CNN,n04597913,wooden_spoon,0.86,0.94,0.4266666666666667,0.6114666666666667,0.4333333333333333,0.5038759689922481,0.5733333333333333,1.6428395951638843,-0.08719999999999999,0.5959922782151261,0.2704444028879641,0.46799999999999997,0.516,0.32099999999999995,0.437,0.392,0.344,0.539,0.423
resnet101,CNN,n02840245,binder,0.7,0.98,0.34746666666666665,0.6224,0.3525333333333333,0.5036190476190476,0.6525333333333334,1.3365131968040955,-0.07386666666666666,0.4733228048682212,0.20923878328161755,0.4746666666666666,0.42199999999999993,0.31199999999999994,0.23199999999999993,0.22533333333333333,0.278,0.388,0.468
resnet101,CNN,n04392985,tape_player,0.58,0.96,0.2890666666666667,0.6349333333333333,0.29093333333333327,0.5016091954022988,0.7109333333333333,1.1029772297377216,-0.06933333333333333,0.3376274231093703,0.17387299730150887,0.31866666666666665,0.367,0.24999999999999994,0.235,0.2613333333333333,0.213,0.33,0.345
resnet101,CNN,n04067472,reel,0.82,0.92,0.4093333333333333,0.5568,0.4106666666666666,0.5008130081300812,0.5906666666666667,1.556906447109158,-0.09186666666666668,0.5406073724362068,0.25880459232877806,0.4453333333333333,0.53,0.247,0.42899999999999994,0.37466666666666665,0.29,0.573,0.391
resnet101,CNN,n02776631,bakery,0.46,0.76,0.23093333333333332,0.4472,0.2290666666666667,0.49797101449275366,0.7690666666666667,0.8684302844589397,-0.057600000000000005,0.3373649574734736,0.15104466248787254,0.25733333333333336,0.326,0.10200000000000004,0.23800000000000002,0.20266666666666666,0.134,0.358,0.222
resnet101,CNN,n02894605,breakwater,0.78,0.96,0.3928,0.6602666666666667,0.38720000000000004,0.49641025641025643,0.6072,1.4679403644172064,-0.08693333333333333,0.5419821439869702,0.25418537678897163,0.33333333333333337,0.527,0.29500000000000004,0.38,0.44666666666666666,0.253,0.485,0.4
resnet101,CNN,n04133789,sandal,0.82,0.94,0.4130666666666667,0.6104,0.40693333333333326,0.496260162601626,0.5869333333333333,1.5427527521354383,-0.10666666666666666,0.5716276913369075,0.2655007233503177,0.46533333333333327,0.57,0.255,0.3519999999999999,0.3546666666666667,0.25,0.565,0.468
resnet101,CNN,n01737021,water_snake,0.86,0.96,0.4336,0.6493333333333333,0.4264,0.4958139534883721,0.5664,1.6165541616412624,-0.11026666666666667,0.5974506200477481,0.26563310275977026,0.5053333333333333,0.546,0.19799999999999995,0.476,0.3546666666666667,0.314,0.662,0.384
resnet101,CNN,n04462240,toyshop,0.7,0.9,0.3536,0.6042666666666666,0.34639999999999993,0.4948571428571428,0.6464,1.313260697918699,-0.08813333333333333,0.4988824250979815,0.2308247815356143,0.46133333333333326,0.508,0.119,0.32599999999999996,0.23866666666666667,0.192,0.581,0.374
resnet101,CNN,n03529860,home_theater,0.8,0.98,0.4053333333333333,0.6882666666666667,0.3946666666666667,0.4933333333333334,0.5946666666666667,1.4962477543646457,-0.08239999999999999,0.5013053449895233,0.2441764488230602,0.2706666666666667,0.525,0.38100000000000006,0.37100000000000005,0.5293333333333333,0.275,0.419,0.429
resnet101,CNN,n03207941,dishwasher,0.72,0.86,0.36506666666666665,0.5266666666666666,0.3549333333333333,0.492962962962963,0.6349333333333333,1.3456120007157724,-0.07146666666666665,0.4579485725687118,0.24346200942417157,0.4106666666666666,0.38399999999999995,0.25699999999999995,0.38199999999999995,0.30933333333333335,0.336,0.463,0.338
resnet101,CNN,n04355338,sundial,0.84,0.94,0.4261333333333333,0.5938666666666667,0.41386666666666666,0.4926984126984127,0.5738666666666667,1.5690381856580609,-0.09133333333333334,0.5701152599044144,0.2750949224868221,0.5173333333333333,0.5269999999999999,0.22999999999999998,0.407,0.32266666666666666,0.313,0.61,0.433
resnet101,CNN,n04141975,scale,0.82,0.94,0.4165333333333333,0.5792,0.40346666666666664,0.4920325203252032,0.5834666666666667,1.5296100353741275,-0.08946666666666667,0.5814599491283298,0.2798574280899842,0.4386666666666666,0.473,0.2919999999999999,0.41899999999999993,0.38133333333333336,0.347,0.528,0.401
resnet101,CNN,n07871810,meat_loaf,0.74,0.92,0.376,0.5904,0.364,0.49189189189189186,0.624,1.379985259937663,-0.1004,0.5590763826970943,0.26158306884607563,0.452,0.441,0.299,0.286,0.288,0.299,0.441,0.454
resnet101,CNN,n07579787,plate,0.44,0.88,0.22506666666666666,0.5736,0.21493333333333334,0.48848484848484847,0.7749333333333334,0.8148484392012868,-0.0596,0.21978625731222562,0.12410597587677102,0.28800000000000003,0.20400000000000001,0.218,0.16799999999999998,0.152,0.236,0.222,0.272
resnet101,CNN,n04033995,quilt,0.7,0.94,0.35946666666666666,0.6421333333333333,0.3405333333333333,0.48647619047619045,0.6405333333333334,1.291019177245711,-0.08239999999999999,0.4599278736975975,0.2128409103384236,0.40533333333333327,0.42399999999999993,0.19899999999999995,0.35,0.2946666666666667,0.276,0.501,0.35
resnet101,CNN,n03908714,pencil_sharpener,0.72,0.9,0.3698666666666667,0.5685333333333333,0.3501333333333333,0.4862962962962963,0.6301333333333333,1.3274143928924185,-0.09040000000000001,0.5112274243438151,0.24727663555318619,0.3333333333333333,0.45199999999999996,0.284,0.32699999999999996,0.38666666666666666,0.268,0.436,0.393
resnet101,CNN,n09428293,seashore,0.44,0.88,0.22613333333333333,0.5376,0.21386666666666668,0.4860606060606061,0.7738666666666667,0.8108045263516526,-0.06106666666666667,0.3331436098134145,0.1345869553455238,0.348,0.238,0.2,0.10299999999999998,0.092,0.202,0.24,0.337
resnet101,CNN,n04200800,shoe_shop,0.88,0.98,0.45386666666666664,0.6024,0.42613333333333336,0.48424242424242425,0.5461333333333334,1.615543183428854,-0.12146666666666668,0.690066683664918,0.30394661889296737,0.5093333333333334,0.644,0.16100000000000003,0.41100000000000003,0.37066666666666664,0.236,0.719,0.469
resnet101,CNN,n03938244,pillow,0.92,0.98,0.476,0.6813333333333333,0.44400000000000006,0.48260869565217396,0.524,1.6832787236602265,-0.09226666666666666,0.6702164178527892,0.31567684598324697,0.4253333333333334,0.686,0.244,0.41600000000000004,0.49466666666666664,0.234,0.676,0.504
resnet101,CNN,n02124075,Egyptian_cat,0.66,0.92,0.34186666666666665,0.6176,0.3181333333333334,0.48202020202020207,0.6581333333333333,1.2060970074033937,-0.07546666666666665,0.443714968530694,0.20115633014902118,0.3706666666666667,0.392,0.275,0.24800000000000005,0.28933333333333333,0.268,0.385,0.412
resnet101,CNN,n04116512,rubber_eraser,0.7,0.9,0.3626666666666667,0.5466666666666666,0.33733333333333326,0.48190476190476184,0.6373333333333333,1.2788874386968083,-0.08733333333333333,0.4962791965089855,0.24029430226720622,0.42666666666666664,0.33799999999999997,0.27899999999999997,0.32799999999999996,0.2733333333333333,0.362,0.421,0.372
