model,method,feature_delta,target,spearman_rho,n,key
vit_b_16,ig,abs_delta_contrast,centroid_shift,0.18536135693215344,225,vit_b_16 / ig
resnet101,cam,abs_delta_colorfulness,xai_iou,0.17976295828065741,225,resnet101 / cam
vit_b_32,cam,abs_delta_contrast,xai_iou,-0.17670938071781606,225,vit_b_32 / cam
resnet101,ig,abs_delta_edge_strength,xai_iou,-0.17234922859905605,225,resnet101 / ig
vit_b_16,rollout,abs_delta_contrast,entropy_delta,0.16573430257058577,225,vit_b_16 / rollout
resnet101,cam,abs_delta_colorfulness,xai_corr,0.1651243152128108,225,resnet101 / cam
vit_b_16,cam,abs_delta_saturation,prob_drop,0.16380425621576067,225,vit_b_16 / cam
vit_b_16,ig,abs_delta_saturation,prob_drop,0.16380425621576067,225,vit_b_16 / ig
vit_b_16,rollout,abs_delta_saturation,prob_drop,0.16380425621576067,225,vit_b_16 / rollout
vit_b_32,ig,abs_delta_hf_energy,entropy_delta,0.16332279814580702,225,vit_b_32 / ig
vit_b_16,cam,abs_delta_saturation,xai_corr,-0.16190581542351457,225,vit_b_16 / cam
vit_b_16,rollout,abs_delta_edge_strength,centroid_shift,0.16022756005056893,225,vit_b_16 / rollout
vit_b_16,rollout,abs_delta_colorfulness,entropy_delta,0.1571955330804889,225,vit_b_16 / rollout
vit_b_16,ig,abs_delta_hf_energy,centroid_shift,0.15670564686051414,225,vit_b_16 / ig
resnet101,ig,abs_delta_hf_energy,centroid_shift,0.15531921618204808,225,resnet101 / ig
vit_b_32,cam,abs_delta_contrast,xai_corr,-0.1549125579435314,225,vit_b_32 / cam
resnet101,cam,abs_delta_entropy,entropy_delta,-0.14917298777918248,225,resnet101 / cam
vit_b_16,ig,abs_delta_colorfulness,entropy_delta,-0.14913716814159295,225,vit_b_16 / ig
vit_b_16,rollout,abs_delta_colorfulness,prob_drop,-0.1474062368310156,225,vit_b_16 / rollout
vit_b_16,cam,abs_delta_colorfulness,prob_drop,-0.1474062368310156,225,vit_b_16 / cam
vit_b_16,ig,abs_delta_colorfulness,prob_drop,-0.1474062368310156,225,vit_b_16 / ig
vit_b_32,cam,abs_delta_contrast,entropy_delta,0.14446797302991995,225,vit_b_32 / cam
resnet101,cam,abs_delta_entropy,xai_corr,0.1432142857142857,225,resnet101 / cam
resnet101,ig,abs_delta_saturation,prob_drop,0.14067003792667512,225,resnet101 / ig
resnet101,cam,abs_delta_saturation,prob_drop,0.14067003792667512,225,resnet101 / cam
vit_b_16,ig,abs_delta_hf_energy,entropy_delta,0.1406194690265487,225,vit_b_16 / ig
vit_b_32,rollout,abs_delta_saturation,prob_drop,0.12850505689001265,225,vit_b_32 / rollout
vit_b_32,ig,abs_delta_saturation,prob_drop,0.12850505689001265,225,vit_b_32 / ig
vit_b_32,cam,abs_delta_saturation,prob_drop,0.12850505689001265,225,vit_b_32 / cam
vit_b_16,rollout,abs_delta_entropy,entropy_delta,0.12079962073324907,225,vit_b_16 / rollout
vit_b_32,cam,abs_delta_saturation,entropy_delta,0.11614096080910243,225,vit_b_32 / cam
vit_b_32,cam,abs_delta_colorfulness,entropy_delta,0.11472397808680997,225,vit_b_32 / cam
resnet101,cam,abs_delta_edge_strength,xai_corr,-0.11245153813737886,225,resnet101 / cam
resnet101,cam,abs_delta_colorfulness,entropy_delta,-0.11244627054361568,225,resnet101 / cam
resnet101,ig,abs_delta_colorfulness,prob_drop,-0.11186788874841974,225,resnet101 / ig
resnet101,cam,abs_delta_colorfulness,prob_drop,-0.11186788874841974,225,resnet101 / cam
vit_b_16,cam,abs_delta_contrast,entropy_delta,0.11141803624104511,225,vit_b_16 / cam
vit_b_16,ig,abs_delta_edge_strength,entropy_delta,0.10497260851243154,225,vit_b_16 / ig
vit_b_16,ig,abs_delta_saturation,entropy_delta,-0.10488516645596292,225,vit_b_16 / ig
vit_b_32,ig,abs_delta_hf_energy,prob_drop,0.10417404129793513,225,vit_b_32 / ig
vit_b_32,cam,abs_delta_hf_energy,prob_drop,0.10417404129793513,225,vit_b_32 / cam
vit_b_32,rollout,abs_delta_hf_energy,prob_drop,0.10417404129793513,225,vit_b_32 / rollout
resnet101,cam,abs_delta_brightness,centroid_shift,-0.10234829329962075,225,resnet101 / cam
resnet101,cam,abs_delta_hf_energy,entropy_delta,-0.10217024863042563,225,resnet101 / cam
vit_b_16,cam,abs_delta_edge_strength,centroid_shift,0.10111356932153394,225,vit_b_16 / cam
vit_b_32,cam,abs_delta_brightness,entropy_delta,0.10040244416350612,225,vit_b_32 / cam
vit_b_16,cam,abs_delta_contrast,prob_drop,0.1004013906447535,225,vit_b_16 / cam
vit_b_16,rollout,abs_delta_contrast,prob_drop,0.1004013906447535,225,vit_b_16 / rollout
vit_b_16,ig,abs_delta_contrast,prob_drop,0.1004013906447535,225,vit_b_16 / ig
