wnid,mean_drift,spillover_rate,n_par,model
n02410509,0.3900103271007538,0.175,40,resnet50
n02412080,0.3190957009792328,0.375,40,resnet50
n02415577,0.3873773515224457,0.175,40,resnet50
n02417914,0.3852110803127289,0.225,40,resnet50
n02422106,0.33931583166122437,0.15,40,resnet50
n02422699,0.4219701886177063,0.375,40,resnet50
n02423022,0.28970956802368164,0.075,40,resnet50
n02437312,0.4314773976802826,0.4,40,resnet50
n02437616,0.3922328054904938,0.3,40,resnet50
n02441942,0.3123929500579834,0.2,40,resnet50
n02442845,0.39534226059913635,0.3,40,resnet50
n02443114,0.3165598511695862,0.225,40,resnet50
n02443484,0.35946041345596313,0.3,40,resnet50
n02444819,0.4089081883430481,0.35,40,resnet50
n02445715,0.3704518675804138,0.125,40,resnet50
n02447366,0.3236609399318695,0.2,40,resnet50
n02454379,0.3706098198890686,0.1,40,resnet50
n02457408,0.4305118918418884,0.4,40,resnet50
n02480495,0.3847714066505432,0.225,40,resnet50
n02480855,0.36013108491897583,0.125,40,resnet50
n02481823,0.3757935166358948,0.25,40,resnet50
n02483362,0.3122325837612152,0.3,40,resnet50
n02483708,0.3996371924877167,0.25,40,resnet50
n02484975,0.47125759720802307,0.65,40,resnet50
n02486261,0.3136196732521057,0.4,40,resnet50
n02486410,0.38961055874824524,0.175,40,resnet50
n02487347,0.35185950994491577,0.175,40,resnet50
n02488291,0.32649749517440796,0.2,40,resnet50
n02488702,0.39667585492134094,0.475,40,resnet50
n02489166,0.3954823315143585,0.225,40,resnet50
n02490219,0.3428764045238495,0.175,40,resnet50
n02492035,0.38393449783325195,0.375,40,resnet50
n02492660,0.3506157398223877,0.225,40,resnet50
n02493509,0.43048158288002014,0.625,40,resnet50
n02493793,0.3805142939090729,0.4,40,resnet50
n02494079,0.29449206590652466,0.125,40,resnet50
n02497673,0.3875134587287903,0.325,40,resnet50
n02500267,0.35890451073646545,0.15,40,resnet50
n02504013,0.41217073798179626,0.325,40,resnet50
n02504458,0.3825224041938782,0.2,40,resnet50
n02509815,0.2405218631029129,0.1,40,resnet50
