model,family,wnid,name,acc_clean,acc_clean_top5,mPC_top1,mPC_top5,abs_drop,rel_drop,mce_class,rmce_class,sev_slope,prob_clean,prob_corr,drop_noise,drop_blur,drop_weather,drop_digital,acc_noise,acc_blur,acc_weather,acc_digital,brightness,contrast,colorfulness,saturation,hf_ratio,edge_strength,entropy,margin_clean,pred_entropy_clean,n_confusable
resnet101,CNN,n02114855,coyote,0.72,0.84,0.5173333333333333,0.7584,0.20266666666666666,0.2814814814814815,0.4826666666666667,0.7683434414304937,-0.06586666666666667,0.45869086698628964,0.3430605689631736,0.16933333333333334,0.27999999999999997,0.09299999999999997,0.25999999999999995,0.5506666666666666,0.44,0.627,0.46,0.5048099195957184,0.17433379650115965,0.12260188341140747,0.2889101293683052,0.012595960974576883,0.04517141703516245,7.1693463799032795,0.53405,0.8858545945396424,7
resnet101,CNN,n01494475,hammerhead,0.94,1.0,0.6757333333333333,0.8525333333333334,0.26426666666666665,0.28113475177304964,0.3242666666666667,1.0018794084968674,-0.05493333333333332,0.723547650128603,0.46715366614583764,0.21999999999999997,0.31299999999999994,0.249,0.2639999999999999,0.72,0.627,0.691,0.676,0.3374002020061016,0.1379016497731209,0.18891717374324798,0.6243306802213192,0.00792601760243997,0.015887558497488498,6.3160559688188815,0.7220859999999999,0.3431391655755603,3
resnet101,CNN,n02113186,Cardigan,0.82,1.0,0.5896,0.8333333333333334,0.23039999999999994,0.2809756097560975,0.4104,0.873485175520982,-0.07680000000000001,0.6063286768645049,0.4039306107727898,0.18799999999999994,0.42299999999999993,0.121,0.17899999999999994,0.632,0.397,0.699,0.641,0.4799656283855438,0.2373984357714653,0.14011351451277732,0.28117893397808075,0.013421153984963893,0.04646232590079308,7.446224745524976,0.574811,0.6286067127716187,5
resnet101,CNN,n03642806,laptop,0.36,0.94,0.25893333333333335,0.6781333333333334,0.10106666666666664,0.2807407407407407,0.7410666666666667,0.3831607425028382,-0.044000000000000004,0.24162859748583285,0.16120470781759258,0.08133333333333331,0.10099999999999998,0.08499999999999996,0.13199999999999998,0.2786666666666667,0.259,0.275,0.228,0.47824930608272553,0.2517761728167534,0.1662219063937664,0.28608794644474983,0.015445489916019142,0.03577327407896519,6.9051951330882355,0.2567406,1.49137951016965,7
resnet101,CNN,n03791053,motor_scooter,0.86,1.0,0.6186666666666667,0.7890666666666667,0.2413333333333333,0.28062015503875964,0.3813333333333333,0.9149352822297324,-0.0944,0.5563198088482022,0.3753289005452614,0.16666666666666663,0.372,0.13,0.278,0.6933333333333334,0.488,0.73,0.582,0.4205984282493591,0.2543971401453018,0.1585497009754181,0.2765691429376602,0.023542736414819954,0.049761631786823274,7.443076862492444,0.430215,0.8630356674870824,4
resnet101,CNN,n02437312,Arabian_camel,1.0,1.0,0.7194666666666667,0.8064,0.2805333333333333,0.2805333333333333,0.2805333333333333,1.0635490794537885,-0.11293333333333333,0.7824909716844559,0.5171017581970072,0.2453333333333333,0.486,0.17700000000000005,0.20499999999999996,0.7546666666666667,0.514,0.823,0.795,0.4770566475391388,0.2099523538351059,0.1468259483575821,0.3017865383625031,0.019461146164685486,0.05125675067305565,7.39366361625016,0.7643212000000001,0.17720074307273376,1
resnet101,CNN,n02110063,malamute,0.8,0.96,0.576,0.7962666666666667,0.2240000000000001,0.2800000000000001,0.42400000000000004,0.8492216984231776,-0.09946666666666668,0.5936916540592211,0.383109045056045,0.28933333333333333,0.29100000000000004,0.16200000000000003,0.17000000000000004,0.5106666666666667,0.509,0.638,0.63,0.44202318906784055,0.22175083696842193,0.09913706198334694,0.236542512178421,0.012254821211099625,0.042142684087157246,7.465065921577633,0.5849552,0.6741991469726384,6
resnet101,CNN,n07754684,jackfruit,1.0,1.0,0.7202666666666667,0.8242666666666667,0.2797333333333333,0.2797333333333333,0.2797333333333333,1.0605161448165628,-0.11560000000000001,0.7954700663685799,0.5309001441334209,0.31066666666666665,0.376,0.14500000000000002,0.29500000000000004,0.6893333333333334,0.624,0.855,0.705,0.4239353621006012,0.2029259067773819,0.21043303549289705,0.46160529017448426,0.0244011515006423,0.05479714378714561,7.352042429751477,0.7869172,0.11855799408318286,1
resnet101,CNN,n02092002,Scottish_deerhound,0.9,1.0,0.6485333333333333,0.8330666666666666,0.2514666666666667,0.2794074074074075,0.3514666666666667,0.9533524543012576,-0.10106666666666668,0.6662078589946031,0.44439836885259526,0.3893333333333333,0.373,0.07700000000000007,0.20100000000000007,0.5106666666666667,0.527,0.823,0.699,0.46531730830669404,0.20732304692268372,0.1386365851201117,0.25822360888123513,0.013718203445896505,0.043959360048174856,7.35325979659059,0.6327944,0.5170328231076734,4
resnet101,CNN,n04335435,streetcar,0.9,0.96,0.6485333333333333,0.7706666666666667,0.2514666666666667,0.2794074074074075,0.3514666666666667,0.9533524543012576,-0.07680000000000001,0.7200636029103771,0.4664799070694023,0.21999999999999997,0.345,0.06700000000000006,0.366,0.68,0.555,0.833,0.534,0.47178934812545775,0.25848655551671984,0.130616844445467,0.21479765295982362,0.024827816430479287,0.05628574922680855,7.4898065484037195,0.7067064,0.39183151337123484,6
resnet101,CNN,n04328186,stopwatch,0.66,0.92,0.47573333333333334,0.7666666666666667,0.1842666666666667,0.2791919191919192,0.5242666666666667,0.6985859447743042,-0.07186666666666668,0.4948363586544292,0.3361501164749527,0.21466666666666667,0.2,0.09100000000000008,0.23900000000000005,0.44533333333333336,0.46,0.569,0.421,0.44422374725341796,0.24253590792417526,0.11467914186418056,0.2583564992249012,0.01955431100912392,0.03910612151026726,7.088511925024381,0.532778,0.8551855594887431,10
resnet101,CNN,n07753113,fig,0.88,0.94,0.6344,0.7952,0.24560000000000004,0.2790909090909091,0.36560000000000004,0.9311109336282695,-0.08746666666666666,0.697322086924396,0.46037944739945136,0.33066666666666666,0.253,0.17900000000000005,0.241,0.5493333333333333,0.627,0.701,0.639,0.45782912373542783,0.23729390680789947,0.24475861310958863,0.4687049609422684,0.0077741887769661846,0.030385728310793638,7.435148881318043,0.7346718,0.24354080569740164,7
resnet101,CNN,n02102040,English_springer,0.94,1.0,0.6781333333333334,0.8573333333333333,0.2618666666666666,0.27858156028368786,0.32186666666666663,0.9927806045851902,-0.10146666666666666,0.7236019682139159,0.4560464877420061,0.23066666666666658,0.43999999999999995,0.16299999999999992,0.20599999999999996,0.7093333333333334,0.5,0.777,0.734,0.42597710967063906,0.2395077520608902,0.1324191616475582,0.27096599370241164,0.013318594321608543,0.04113127708435058,7.447234372721237,0.6988385999999999,0.4546494588868285,4
resnet101,CNN,n03424325,gasmask,0.88,0.96,0.6352,0.7632,0.24480000000000002,0.2781818181818182,0.3648,0.9280779989910438,-0.07253333333333334,0.6740724319592118,0.45065579763044006,0.15333333333333332,0.357,0.137,0.30900000000000005,0.7266666666666667,0.523,0.743,0.571,0.3848056674003601,0.2594212681055069,0.08883804697543382,0.18674565330147744,0.020086423084139823,0.03722555853426456,6.804328454783062,0.6621492000000001,0.4536133447734141,5
resnet101,CNN,n03884397,panpipe,0.88,0.98,0.6352,0.7378666666666667,0.24480000000000002,0.2781818181818182,0.3648,0.9280779989910438,-0.09586666666666667,0.7150675875786692,0.4641173285686814,0.31600000000000006,0.269,0.18000000000000005,0.23199999999999998,0.564,0.611,0.7,0.648,0.4955688333511353,0.23038885444402696,0.21428202211856842,0.3537793201208115,0.014993713800795377,0.04054316818714142,6.9489666320628745,0.7317665999999998,0.34741442152085894,7
resnet101,CNN,n03345487,fire_engine,0.88,0.96,0.6357333333333334,0.7544,0.24426666666666663,0.27757575757575753,0.3642666666666666,0.9260560425662265,-0.0744,0.6714422637643293,0.4570092835355705,0.29866666666666664,0.28700000000000003,0.06899999999999995,0.33599999999999997,0.5813333333333334,0.593,0.811,0.544,0.4163977074623108,0.2354071044921875,0.25163852334022524,0.3164482116699219,0.03110371429473162,0.056612140089273455,7.498412638822738,0.6756194,0.431933555713156,7
resnet101,CNN,n02027492,red-backed_sandpiper,0.9,1.0,0.6504,0.8178666666666666,0.24960000000000004,0.2773333333333334,0.3496,0.9462756068143977,-0.1048,0.7237526146322488,0.4755409705461401,0.3506666666666667,0.31200000000000006,0.119,0.242,0.5493333333333333,0.588,0.781,0.658,0.5351143044233322,0.1532238844037056,0.10709703996777535,0.1890067583322525,0.00969490509480238,0.037730008140206335,6.738726191665044,0.7191712,0.3140094762551179,3
