grupa,klasa,corruption,severity,prob_spadek,iou_spadek
podatne,ice_cream,elastic_transform,1,0.012129738926887512,0.6299303944315545
podatne,ice_cream,elastic_transform,2,0.18679863214492798,0.8138367009334752
podatne,ice_cream,elastic_transform,3,0.20876793563365936,0.8579635949943117
podatne,ice_cream,elastic_transform,4,0.20004105009138584,0.7916340656033705
podatne,ice_cream,elastic_transform,5,0.2201182981953025,0.8482675539238183
podatne,ice_cream,pixelate,1,0.22616362490225583,0.9054083524152219
podatne,ice_cream,pixelate,2,0.2276351639884524,0.9541241408039992
podatne,ice_cream,pixelate,3,0.22749002830823883,0.8617190157614242
podatne,ice_cream,pixelate,4,0.2274486068636179,0.9379496402877698
podatne,ice_cream,pixelate,5,0.22769282213994302,0.9495081624110506
podatne,ice_cream,jpeg_compression,1,0.21974341943860054,0.6399539357810595
podatne,ice_cream,jpeg_compression,2,0.22301272815093398,0.8373291637711373
podatne,ice_cream,jpeg_compression,3,0.2224554531276226,0.8212880878295075
podatne,ice_cream,jpeg_compression,4,0.22154305689036846,0.9293979629925878
podatne,ice_cream,jpeg_compression,5,0.21892581973224878,0.9368811225840614
podatne,paper_towel,gaussian_noise,1,0.08781388588249683,0.5767567184287031
podatne,paper_towel,gaussian_noise,2,0.0899075698107481,0.8522415370539799
podatne,paper_towel,gaussian_noise,3,0.0909544745227322,0.9142053445850914
podatne,paper_towel,gaussian_noise,4,0.09097662882413715,0.8886551132273961
podatne,paper_towel,gaussian_noise,5,0.09005986200645566,0.891049723756906
podatne,paper_towel,shot_noise,1,0.08382464665919542,0.8694378731553453
podatne,paper_towel,shot_noise,2,0.08836970711126924,0.8808541480820695
podatne,paper_towel,shot_noise,3,0.09107357636094093,0.957081991063078
podatne,paper_towel,shot_noise,4,0.09144774574087933,0.9769101381314033
podatne,paper_towel,shot_noise,5,0.09102175605949014,0.9967009897030891
podatne,paper_towel,impulse_noise,1,0.08287463150918484,0.5717945069019497
podatne,paper_towel,impulse_noise,2,0.08989697927609086,0.8506642235455795
podatne,paper_towel,impulse_noise,3,0.08959670551121235,0.8288014937565644
podatne,paper_towel,impulse_noise,4,0.0906698948238045,0.9612379030171299
podatne,paper_towel,impulse_noise,5,0.09024961641989648,0.9013082270512891
podatne,paper_towel,defocus_blur,1,0.05936221778392792,0.470821270760323
podatne,paper_towel,defocus_blur,2,0.08151347562670708,0.3874025869687475
podatne,paper_towel,defocus_blur,3,0.08975748461671174,0.5772611284377658
podatne,paper_towel,defocus_blur,4,0.09024474653415382,0.6832852269745473
podatne,paper_towel,defocus_blur,5,0.09059848973993212,0.691836601733012
podatne,paper_towel,glass_blur,1,0.08814439736306667,0.6869030485411487
podatne,paper_towel,glass_blur,2,0.08944241190329194,0.7717537633092645
podatne,paper_towel,glass_blur,3,0.09113605029415339,0.8212356119332863
podatne,paper_towel,glass_blur,4,0.09193578027770855,0.9799258016974133
podatne,paper_towel,glass_blur,5,0.09124220203375444,0.7855025110425364
podatne,paper_towel,motion_blur,1,0.06732608936727047,0.3075885328836425
podatne,paper_towel,motion_blur,2,0.07547293417155743,0.43052623348189856
podatne,paper_towel,motion_blur,3,0.0568167045712471,0.4324873096446701
podatne,paper_towel,motion_blur,4,0.09013810777105391,0.748003992015968
podatne,paper_towel,motion_blur,5,0.09107016015332192,0.776022928227331
podatne,paper_towel,zoom_blur,1,0.06937529891729355,0.3438943894389439
podatne,paper_towel,zoom_blur,2,0.08263608813285828,0.3546192310845151
podatne,paper_towel,zoom_blur,3,0.08476848155260086,0.39603643918810927
podatne,paper_towel,zoom_blur,4,0.08736502379179001,0.42164032397578044
podatne,paper_towel,zoom_blur,5,0.08909315639175475,0.4981298623578695
podatne,paper_towel,snow,1,0.08880145568400621,0.7775883069427527
podatne,paper_towel,snow,2,0.09051028732210398,0.7951380552220888
podatne,paper_towel,snow,3,0.09118425729684532,0.8865590503134188
podatne,paper_towel,snow,4,0.08893711818382144,0.9837476583464129
podatne,paper_towel,snow,5,0.09011770272627473,0.9311904635197701
podatne,paper_towel,frost,1,0.08466566354036331,0.4048319160772471
podatne,paper_towel,frost,2,0.08934458158910275,0.8488845558295578
podatne,paper_towel,frost,3,0.07003339007496834,0.5931503011626278
podatne,paper_towel,frost,4,0.08809078810736537,0.7548387096774194
podatne,paper_towel,frost,5,0.08715995214879513,0.7011776886243044
podatne,paper_towel,fog,1,0.05726556479930878,0.24084136722173533
podatne,paper_towel,fog,2,0.07491413317620754,0.2763417775869472
podatne,paper_towel,fog,3,0.08332844637334347,0.49014593049496014
podatne,paper_towel,fog,4,0.08850028458982706,0.5893597582402137
podatne,paper_towel,fog,5,0.08488229801878333,0.6631144265352338
podatne,paper_towel,brightness,1,0.013698041439056396,0.05126213592233009
podatne,paper_towel,brightness,2,0.06072971224784851,0.2837109876015391
podatne,paper_towel,brightness,3,0.08473095949739218,0.38152059985487385
podatne,paper_towel,brightness,4,0.08542055264115334,0.2908719346049047
podatne,paper_towel,brightness,5,0.08833659789524972,0.31175926704211143
podatne,paper_towel,contrast,1,0.04314351826906204,0.11140383891607075
podatne,paper_towel,contrast,2,0.05031833425164223,0.06702619414483824
podatne,paper_towel,contrast,3,0.06532139331102371,0.1337052533705253
podatne,paper_towel,contrast,4,0.07959321234375238,0.24834205933682374
podatne,paper_towel,contrast,5,0.08876121882349253,0.5288729297962773
podatne,paper_towel,elastic_transform,1,0.056346770375967026,0.458490131326319
podatne,paper_towel,elastic_transform,2,0.08431349787861109,0.5986176080430077
podatne,paper_towel,elastic_transform,3,0.08816618379205465,0.5900533857825232
podatne,paper_towel,elastic_transform,4,0.08792123338207603,0.5865784099711289
podatne,paper_towel,elastic_transform,5,0.09021458518691361,0.5829862336745499
podatne,paper_towel,pixelate,1,0.08240182045847178,0.3816393971145321
podatne,paper_towel,pixelate,2,0.08327709883451462,0.6229688035653068
podatne,paper_towel,pixelate,3,0.08903313474729657,0.8378675619356333
podatne,paper_towel,pixelate,4,0.09143329871585593,0.8777187587363713
podatne,paper_towel,pixelate,5,0.09103458735626191,0.8944092536491325
podatne,paper_towel,jpeg_compression,1,0.06454628147184849,0.35690897184020953
podatne,paper_towel,jpeg_compression,2,0.068522609770298,0.32925509779442363
podatne,paper_towel,jpeg_compression,3,0.07799666933715343,0.4549303363867293
podatne,paper_towel,jpeg_compression,4,0.08913290197961032,0.7580575317042995
podatne,paper_towel,jpeg_compression,5,0.09067867754492909,0.9355676936946492
podatne,paper_towel,gaussian_noise,1,0.3374415934085846,0.3515111695137977
podatne,paper_towel,gaussian_noise,2,0.38033975660800934,0.3832460732984293
podatne,paper_towel,gaussian_noise,3,0.43136617820709944,0.3638734920117379
podatne,paper_towel,gaussian_noise,4,0.4392708488740027,0.4777794630668891
podatne,paper_towel,gaussian_noise,5,0.44194871583022177,0.6203862808440443
podatne,paper_towel,shot_noise,1,0.39690927043557167,0.4380982024745156
podatne,paper_towel,shot_noise,2,0.4319166522473097,0.4316299421784654
podatne,paper_towel,shot_noise,3,0.44129579002037644,0.49426493740160427
podatne,paper_towel,shot_noise,4,0.4425088025745936,0.5686372388219354
podatne,paper_towel,shot_noise,5,0.4375044982880354,0.5524304053079475
podatne,paper_towel,impulse_noise,1,0.4189391825348139,0.44137288398819696
podatne,paper_towel,impulse_noise,2,0.4024399369955063,0.4234998429154885
podatne,paper_towel,impulse_noise,3,0.38758885487914085,0.4502779493514515
podatne,paper_towel,impulse_noise,4,0.43560913018882275,0.4769709386144624
podatne,paper_towel,impulse_noise,5,0.44008686556480825,0.5697591563346159
podatne,paper_towel,defocus_blur,1,0.2892075926065445,0.4150347441566645
podatne,paper_towel,defocus_blur,2,0.29334892332553864,0.41333544003792067
podatne,paper_towel,defocus_blur,3,0.3144097924232483,0.38908507223113964
podatne,paper_towel,defocus_blur,4,0.3442286029458046,0.4126532226176355
podatne,paper_towel,defocus_blur,5,0.40166814625263214,0.42806797713211686
podatne,paper_towel,glass_blur,1,0.29216405749320984,0.3726285065672126
podatne,paper_towel,glass_blur,2,0.40204789489507675,0.3941115289223138
