wnid,CNN,ViT,diff,name
n02099267,0.3743928548920041,0.3294822421908429,-0.0449106127011612,flat-coated_retriever
n02099429,0.4267580567580567,0.39007177033492824,-0.03668628642312849,curly-coated_retriever
n02099601,0.3871764826806455,0.273,-0.11417648268064545,golden_retriever
n02099712,0.3984914482588901,0.43541226215644824,0.036920813897558136,Labrador_retriever
n02099849,0.4372438928289992,0.36401656314699793,-0.0732273296820013,Chesapeake_Bay_retriever
n02100236,0.3243322109988777,0.25604134366925063,-0.06829086732962708,German_short-haired_pointer
n02100583,0.418282912608494,0.30793478260869567,-0.11034812999979832,vizsla
n02100735,0.43441171403962103,0.3697334089619966,-0.06467830507762445,English_setter
n02100877,0.2821904538183608,0.23450216450216443,-0.04768828931619634,Irish_setter
n02101006,0.3088395061728395,0.2048674443266172,-0.10397206184622232,Gordon_setter
n02101388,0.3575495939973276,0.2760733437121605,-0.08147625028516708,Brittany_spaniel
n02101556,0.24056343577620168,0.12450354609929074,-0.11605988967691094,clumber
n02102040,0.3036406619385342,0.263665878644602,-0.03997478329393217,English_springer
n02102177,0.268681430018816,0.1696256038647343,-0.0990558261540817,Welsh_springer_spaniel
n02102318,0.4071416490486259,0.34162601626016253,-0.06551563278846334,cocker_spaniel
n02102480,0.3166160446160446,0.18717117117117113,-0.12944487344487346,Sussex_spaniel
n02102973,0.31857863660762215,0.23101449275362324,-0.08756414385399891,Irish_water_spaniel
n02104029,0.3539826426604347,0.3471013431013431,-0.006881299559091614,kuvasz
n02104365,0.34199217851391756,0.25905038759689925,-0.08294179091701831,schipperke
