model,family,class,corruption,severity,method,iou,centroid_shift,prob_corr,correct
resnet101,CNN,patio,impulse_noise,1,cam,0.7263972484952709,3.1441791530606777,0.00044207123573869467,False
resnet101,CNN,patio,impulse_noise,2,cam,0.6202776880852438,16.331890548318743,0.000419874326325953,False
resnet101,CNN,patio,impulse_noise,3,cam,0.6129861780777885,16.450354273573485,0.00045860360842198133,False
resnet101,CNN,patio,impulse_noise,4,cam,0.6690503908198903,12.895887562121247,0.0002659700403455645,False
resnet101,CNN,patio,impulse_noise,5,cam,0.5692283636932218,9.84882291164717,0.00044068871648050845,False
resnet101,CNN,patio,defocus_blur,1,cam,0.7161422708618331,0.7353385764459153,0.00016996437625493854,False
resnet101,CNN,patio,defocus_blur,2,cam,0.588477366255144,2.992806197307578,0.00019669994071591645,False
resnet101,CNN,patio,defocus_blur,3,cam,0.4504986269692152,10.14032752291278,0.00026488371076993644,False
resnet101,CNN,patio,defocus_blur,4,cam,0.3062605752961083,10.0988967690478,0.00023800769122317433,False
resnet101,CNN,patio,defocus_blur,5,cam,0.2772510340439071,17.751299359633283,0.00016696385864634067,False
resnet101,CNN,patio,glass_blur,1,cam,1.0,0.0,0.0003779949911404401,False
resnet101,CNN,patio,glass_blur,2,cam,1.0,0.0,0.0003779949911404401,False
resnet101,CNN,patio,glass_blur,3,cam,1.0,0.0,0.0003779949911404401,False
resnet101,CNN,patio,glass_blur,4,cam,1.0,0.0,0.0003779949911404401,False
resnet101,CNN,patio,glass_blur,5,cam,1.0,0.0,0.0003779949911404401,False
resnet101,CNN,patio,motion_blur,1,cam,0.6374612497960516,8.607104715010832,0.0003783217689488083,False
resnet101,CNN,patio,motion_blur,2,cam,0.5225669422741409,12.12884111487667,0.00021495315013453364,False
resnet101,CNN,patio,motion_blur,3,cam,0.4999626614890598,9.32661379627143,0.00019113431335426867,False
resnet101,CNN,patio,motion_blur,4,cam,0.257565315456425,16.42561617761311,0.0002936313103418797,False
resnet101,CNN,patio,motion_blur,5,cam,0.026648253286276916,31.943201200577484,0.00023325238726101816,False
resnet101,CNN,patio,zoom_blur,1,cam,0.645111056470781,6.48426562887244,0.0007076820475049317,False
resnet101,CNN,patio,zoom_blur,2,cam,0.6277674154569783,6.779531891251915,0.0006567339296452701,False
resnet101,CNN,patio,zoom_blur,3,cam,0.6467306587907129,10.053992229491447,0.0005844405386596918,False
resnet101,CNN,patio,zoom_blur,4,cam,0.44725647126685414,16.218439320845757,0.00041054721805267036,False
resnet101,CNN,patio,zoom_blur,5,cam,0.40422554918147474,18.004737444135646,0.000313420663587749,False
resnet101,CNN,patio,snow,1,cam,0.598470972366011,5.933410714996071,0.00042272821883670986,False
resnet101,CNN,patio,snow,2,cam,0.6187096774193548,5.73674660067426,0.0025853486731648445,False
resnet101,CNN,patio,snow,3,cam,0.6569258708931814,3.8124145315522333,0.0002630432427395135,False
resnet101,CNN,patio,snow,4,cam,0.4670369828972372,2.6587494943653995,0.00017530657351016998,False
resnet101,CNN,patio,snow,5,cam,0.4039308945932713,18.541436632108717,0.00011245132191106677,False
resnet101,CNN,patio,frost,1,cam,0.5449507389162561,6.782966877341334,0.00019354460528120399,False
resnet101,CNN,patio,frost,2,cam,0.6060169627140343,14.116903658903231,0.0006967945955693722,False
resnet101,CNN,patio,frost,3,cam,0.4970167064439141,6.7476759090488265,0.0013674512738361955,False
resnet101,CNN,patio,frost,4,cam,0.6697446135928792,6.61260681307209,0.0005855624913237989,False
resnet101,CNN,patio,frost,5,cam,0.628031470516668,6.580066618988662,0.0019253529608249664,False
resnet101,CNN,patio,fog,1,cam,0.6520164609053498,6.8054789764613695,0.0006173840956762433,False
resnet101,CNN,patio,fog,2,cam,0.6019154030327215,8.053503264284554,0.0006706011481583118,False
resnet101,CNN,patio,fog,3,cam,0.6420157068062827,6.624031967756279,0.0008803284727036953,False
resnet101,CNN,patio,fog,4,cam,0.6683567450752224,9.093298573665269,0.001013361499644816,False
resnet101,CNN,patio,fog,5,cam,0.6642069480142608,1.6362300349936363,0.004139354918152094,False
resnet101,CNN,patio,brightness,1,cam,0.8176220230009961,2.10836862340753,0.00038957319338805974,False
resnet101,CNN,patio,brightness,2,cam,0.6932680951577527,3.932257028625609,0.0004269767669029534,False
resnet101,CNN,patio,brightness,3,cam,0.6569258708931814,7.563138783472717,0.0005380192305892706,False
resnet101,CNN,patio,brightness,4,cam,0.5133830958305059,12.767781420992247,0.0007104816613718867,False
resnet101,CNN,patio,brightness,5,cam,0.4366902870231193,15.341248059737225,0.0008191014057956636,False
resnet101,CNN,patio,contrast,1,cam,0.7397937072029124,6.160820635442464,0.00038061875966377556,False
resnet101,CNN,patio,contrast,2,cam,0.7014495210646775,7.199816337760337,0.0003765614819712937,False
resnet101,CNN,patio,contrast,3,cam,0.7027485578554462,7.335286727927698,0.0003183256194461137,False
resnet101,CNN,patio,contrast,4,cam,0.7255845942228336,5.59082610049695,0.00033198329037986696,False
resnet101,CNN,patio,contrast,5,cam,0.7127741274852804,5.188074118155348,0.0003052101528737694,False
resnet101,CNN,patio,elastic_transform,1,cam,0.38647509843199557,21.27398295550474,0.003966020420193672,False
resnet101,CNN,patio,elastic_transform,2,cam,0.5631423232637808,2.0051543006780768,0.0020363316871225834,False
resnet101,CNN,patio,elastic_transform,3,cam,0.37592541815190567,3.197710938024992,0.0016618943773210049,False
resnet101,CNN,patio,elastic_transform,4,cam,0.34666219389466624,23.25763153353849,0.0015465805772691965,False
resnet101,CNN,patio,elastic_transform,5,cam,0.34162154936167366,9.308907091429539,0.0013286706525832415,False
resnet101,CNN,patio,pixelate,1,cam,0.6767187369476234,3.678519393601309,0.0002444102428853512,False
resnet101,CNN,patio,pixelate,2,cam,0.04323650158499195,32.98064920209055,0.0005960107082501054,False
resnet101,CNN,patio,pixelate,3,cam,0.5863431597249664,7.127296017342823,0.00023548342869617045,False
resnet101,CNN,patio,pixelate,4,cam,0.260214648842026,0.44693687489627026,0.00036516087129712105,False
resnet101,CNN,patio,pixelate,5,cam,0.00014948427923663362,34.00728510394023,0.0007328151841647923,False
resnet101,CNN,patio,jpeg_compression,1,cam,0.7402462285417027,2.578912727075058,0.0003431709483265877,False
resnet101,CNN,patio,jpeg_compression,2,cam,0.7614743308468627,2.4714710239456896,0.00024634585133753717,False
resnet101,CNN,patio,jpeg_compression,3,cam,0.6925541782612362,5.21010816809974,0.00027552928077057004,False
resnet101,CNN,patio,jpeg_compression,4,cam,0.7467583326081281,4.761723312489564,0.00026857887860387564,False
resnet101,CNN,patio,jpeg_compression,5,cam,0.5488849448259897,13.116107426995091,0.00020141650747973472,False
vit_b_16,ViT,backpack,gaussian_noise,1,cam,0.20001594387755103,71.85467172802832,0.43273916840553284,True
vit_b_16,ViT,backpack,gaussian_noise,1,rollout,0.6938396624472574,5.981881157688105,0.43273916840553284,True
vit_b_16,ViT,backpack,gaussian_noise,2,cam,0.4829700775766531,13.375326659660002,0.703742504119873,True
vit_b_16,ViT,backpack,gaussian_noise,2,rollout,0.5719320228678831,9.712734200405036,0.703742504119873,True
vit_b_16,ViT,backpack,gaussian_noise,3,cam,0.20966672693304406,36.27377968520855,0.3525681793689728,True
vit_b_16,ViT,backpack,gaussian_noise,3,rollout,0.390701863784383,12.00274856624065,0.3525681793689728,True
vit_b_16,ViT,backpack,gaussian_noise,4,cam,0.185576752702144,2.777611021209616,0.0496872141957283,False
vit_b_16,ViT,backpack,gaussian_noise,4,rollout,0.22706436036917058,17.81471295688425,0.0496872141957283,False
vit_b_16,ViT,backpack,gaussian_noise,5,cam,0.06646830667870995,27.21530199015689,0.011647551320493221,False
vit_b_16,ViT,backpack,gaussian_noise,5,rollout,0.13005292196824683,22.594756546042706,0.011647551320493221,False
vit_b_16,ViT,backpack,shot_noise,1,cam,0.44861431870669743,11.578280102636983,0.8157632946968079,True
vit_b_16,ViT,backpack,shot_noise,1,rollout,0.8130250203233673,2.477611685394058,0.8157632946968079,True
vit_b_16,ViT,backpack,shot_noise,2,cam,0.2721510964634301,27.319311463633387,0.735362708568573,True
vit_b_16,ViT,backpack,shot_noise,2,rollout,0.7085243674647648,2.2653519379259666,0.735362708568573,True
vit_b_16,ViT,backpack,shot_noise,3,cam,0.24085064292779426,22.959088720600104,0.8801983594894409,True
vit_b_16,ViT,backpack,shot_noise,3,rollout,0.5844647931796653,5.883703578577687,0.8801983594894409,True
vit_b_16,ViT,backpack,shot_noise,4,cam,0.4539001955529804,8.1078565935103,0.41597670316696167,True
vit_b_16,ViT,backpack,shot_noise,4,rollout,0.41362067751250087,8.861727103146405,0.41597670316696167,True
vit_b_16,ViT,backpack,shot_noise,5,cam,0.40915473181690537,24.362164811769226,0.010971150361001492,False
vit_b_16,ViT,backpack,shot_noise,5,rollout,0.38332184700206756,11.702676040690516,0.010971150361001492,False
vit_b_16,ViT,backpack,impulse_noise,1,cam,0.3798982538154819,18.82506241849794,0.6618748903274536,True
vit_b_16,ViT,backpack,impulse_noise,1,rollout,0.4772944726576875,7.29280670692562,0.6618748903274536,True
vit_b_16,ViT,backpack,impulse_noise,2,cam,0.28436140261069875,34.95482791337418,0.3007466793060303,True
vit_b_16,ViT,backpack,impulse_noise,2,rollout,0.30042112082928407,13.046342949184549,0.3007466793060303,True
vit_b_16,ViT,backpack,impulse_noise,3,cam,0.16318961520630507,31.565227988570253,0.485343873500824,True
vit_b_16,ViT,backpack,impulse_noise,3,rollout,0.27035748180955393,14.693920326950511,0.485343873500824,True
vit_b_16,ViT,backpack,impulse_noise,4,cam,0.3267235111375504,26.878649088329247,0.2858802378177643,True
vit_b_16,ViT,backpack,impulse_noise,4,rollout,0.18663907774164942,22.51915722432206,0.2858802378177643,True
vit_b_16,ViT,backpack,impulse_noise,5,cam,0.3455557045180319,13.272893451193546,0.0051201642490923405,False
vit_b_16,ViT,backpack,impulse_noise,5,rollout,0.15918932963796986,21.506760884273685,0.0051201642490923405,False
vit_b_16,ViT,backpack,defocus_blur,1,cam,0.10626102292768959,33.90957343897325,0.7434622049331665,True
vit_b_16,ViT,backpack,defocus_blur,1,rollout,0.6843165226147521,3.7383706624974935,0.7434622049331665,True
vit_b_16,ViT,backpack,defocus_blur,2,cam,0.1517150395778364,37.20269492759922,0.49946388602256775,True
vit_b_16,ViT,backpack,defocus_blur,2,rollout,0.6116910229645094,4.565897023252691,0.49946388602256775,True
vit_b_16,ViT,backpack,defocus_blur,3,cam,0.3263728275953215,36.912417331794444,0.08002766221761703,True
vit_b_16,ViT,backpack,defocus_blur,3,rollout,0.5470941883767535,6.088130688599619,0.08002766221761703,True
vit_b_16,ViT,backpack,defocus_blur,4,cam,0.20001594387755103,15.0912797708248,0.045225076377391815,True
vit_b_16,ViT,backpack,defocus_blur,4,rollout,0.5332671300893744,6.847848949943548,0.045225076377391815,True
