wnid,compactness,dispersion,margin,n_imgs,model
n02119022,0.18408726155757904,0.016083097324418927,0.1903594732284546,31,resnet101
n02119789,0.18703331053256989,0.018193616816493056,0.1903594732284546,37,resnet101
n02120079,0.16195593774318695,0.01990801351503456,0.4668729305267334,49,resnet101
n02120505,0.1827961504459381,0.019273106066981967,0.36927109956741333,38,resnet101
n02123045,0.257279634475708,0.03701281084691052,0.17896461486816406,35,resnet101
n02123159,0.3046247959136963,0.06170571908190309,0.17896431684494019,16,resnet101
n02123394,0.2181803286075592,0.028969987034359476,0.5935958623886108,46,resnet101
n02123597,0.1983194351196289,0.021822819984577635,0.6534726619720459,47,resnet101
n02124075,0.319596529006958,0.06268239648527844,0.22081321477890015,33,resnet101
n02125311,0.14130845665931702,0.015497846544673082,0.6667858362197876,47,resnet101
n02127052,0.1912326067686081,0.02276959905301382,0.7067513465881348,38,resnet101
n02128385,0.11704917252063751,0.010001141890939435,0.26612430810928345,43,resnet101
n02128757,0.13102659583091736,0.013528238688254157,0.47769784927368164,47,resnet101
n02128925,0.126064732670784,0.015573612327577984,0.26612478494644165,42,resnet101
n02129165,0.16730697453022003,0.01570303609244256,0.7320230603218079,50,resnet101
n02129604,0.1351156085729599,0.013835722826011336,0.7444993257522583,47,resnet101
n02130308,0.1016663908958435,0.010313250792231284,0.4535759687423706,48,resnet101
n02132136,0.15567338466644287,0.01652221497963491,0.47771358489990234,46,resnet101
n02133161,0.1862284243106842,0.02296726160670958,0.41117632389068604,47,resnet101
n02134084,0.22916074097156525,0.02643440019940309,0.6808855533599854,48,resnet101
n02134418,0.17694564163684845,0.021203431084769537,0.41117632389068604,38,resnet101
n02137549,0.19906581938266754,0.01953666584174823,0.5160444974899292,40,resnet101
n02138441,0.1742158830165863,0.018044315967717252,0.5160446763038635,46,resnet101
n02165105,0.08803928643465042,0.006744927238876814,0.4066110849380493,47,resnet101
n02165456,0.15875272452831268,0.014066952855733929,0.37313759326934814,46,resnet101
n02167151,0.1707410365343094,0.016195024558622588,0.40661126375198364,37,resnet101
n02168699,0.23762093484401703,0.021965119451292037,0.4395189881324768,43,resnet101
n02169497,0.1826949119567871,0.01702813638157067,0.37313759326934814,36,resnet101
n02172182,0.2057124227285385,0.01941036388863373,0.6307153701782227,46,resnet101
n02174001,0.16448841989040375,0.025897283000398785,0.6697996854782104,47,resnet101
n02177972,0.14771057665348053,0.012341805111477188,0.5255275964736938,47,resnet101
n02190166,0.1529374122619629,0.01275624798517723,0.6319988369941711,45,resnet101
n02206856,0.2161717563867569,0.023490330619297325,0.6225011348724365,41,resnet101
n02219486,0.20151284337043762,0.020254526113372355,0.6750397682189941,42,resnet101
n02226429,0.1339603215456009,0.010706573627897235,0.1542155146598816,33,resnet101
n02229544,0.20199279487133026,0.02229661961182322,0.1542155146598816,30,resnet101
n02231487,0.28255143761634827,0.03432287774321986,0.46450376510620117,42,resnet101
n02233338,0.2402038872241974,0.027419023021247116,0.639602541923523,41,resnet101
n02236044,0.18780086934566498,0.018094861575331772,0.46450406312942505,45,resnet101
n02256656,0.12311646342277527,0.009252265149294291,0.7007402181625366,48,resnet101
n02259212,0.12773184478282928,0.010770989435491343,0.7007405161857605,46,resnet101
n02264363,0.11670459806919098,0.009077764478587628,0.7810766696929932,42,resnet101
n02268443,0.12154732644557953,0.011916506404605249,0.2790036201477051,40,resnet101
n02268853,0.08573993295431137,0.005873078421517285,0.2790032625198364,49,resnet101
n02276258,0.08888903260231018,0.006322339531983991,0.8720535635948181,50,resnet101
n02277742,0.10180564969778061,0.009073908334247344,0.6687754988670349,48,resnet101
n02279972,0.08604782074689865,0.008887378583395208,0.8465584516525269,48,resnet101
n02280649,0.08584175258874893,0.007038023669049556,0.5823456048965454,48,resnet101
n02281406,0.08522864431142807,0.007827758427795092,0.5823454856872559,48,resnet101
n02281787,0.10268362611532211,0.007090881266644174,0.6687755584716797,48,resnet101
n02317335,0.15914669632911682,0.011732005149336065,0.7202784419059753,44,resnet101
n02319095,0.22126731276512146,0.02348401116546012,0.5605558156967163,47,resnet101
n02321529,0.21961282193660736,0.022612185240382953,0.7122320532798767,38,resnet101
n02325366,0.1254500448703766,0.009897574299522423,0.34330272674560547,40,resnet101
n02326432,0.18230660259723663,0.01732009870004792,0.3433023691177368,45,resnet101
n02328150,0.2525738775730133,0.03337864440970402,0.6533322334289551,50,resnet101
n02342885,0.15990173816680908,0.02122899330064059,0.6891480684280396,50,resnet101
n02346627,0.1739000827074051,0.01775150472166283,0.7119077444076538,47,resnet101
