model,method,wnid,name,image_pos,image_idx,corruption,family,severity,prob_clean,prob_corr,prob_drop,correct_clean,correct_corr,xai_iou,xai_corr,centroid_shift,entropy_clean,entropy_corr,entropy_delta,family_model
vit_b_16,ig,n03899768,patio,0,1538,motion_blur,blur,5,0.005413006525486708,0.0006845170282758772,0.0047284894972108305,0,0,0.25442159865008435,0.37412004580957214,4.50579021464231,1.657749711324688,1.7126824178377027,0.05493270651301474,ViT
vit_b_16,rollout,n03899768,patio,0,1538,zoom_blur,blur,1,0.005413006525486708,0.004641012288630009,0.000771994236856699,0,0,0.5874723188864284,0.7536525375151144,7.792847337177694,2.6878017347416643,3.2645772075389234,0.5767754727972592,ViT
vit_b_16,cam,n03899768,patio,0,1538,zoom_blur,blur,1,0.005413006525486708,0.004641012288630009,0.000771994236856699,0,0,0.28730840761880333,0.4203741267576204,13.599820293910707,2.957437367047879,1.6716997493194106,-1.2857376177284683,ViT
vit_b_16,ig,n03899768,patio,0,1538,zoom_blur,blur,1,0.005413006525486708,0.004641012288630009,0.000771994236856699,0,0,0.264457603628575,0.45235205293945796,3.3461809233559583,1.657749711324688,1.2980125818580128,-0.35973712946667513,ViT
vit_b_16,rollout,n03899768,patio,0,1538,zoom_blur,blur,2,0.005413006525486708,0.0028873111587017775,0.0025256953667849302,0,0,0.5275494672754947,0.6791214942724565,7.88171446288062,2.6878017347416643,3.595129697995729,0.9073279632540645,ViT
vit_b_16,cam,n03899768,patio,0,1538,zoom_blur,blur,2,0.005413006525486708,0.0028873111587017775,0.0025256953667849302,0,0,0.3793293018141836,0.5450020743812888,20.454622227596328,2.957437367047879,4.307839366113868,1.3504019990659888,ViT
vit_b_16,ig,n03899768,patio,0,1538,zoom_blur,blur,2,0.005413006525486708,0.0028873111587017775,0.0025256953667849302,0,0,0.2635024549918167,0.4355088464412139,5.165273020801097,1.657749711324688,1.557234963213682,-0.10051474811100602,ViT
vit_b_16,rollout,n03899768,patio,0,1538,zoom_blur,blur,3,0.005413006525486708,0.005114425905048847,0.0002985806204378605,0,0,0.4629737609329446,0.6284695539016502,7.501035624181343,2.6878017347416643,3.803895017807016,1.1160932830653518,ViT
vit_b_16,cam,n03899768,patio,0,1538,zoom_blur,blur,3,0.005413006525486708,0.005114425905048847,0.0002985806204378605,0,0,0.3651635720601238,0.5589249806879898,21.87224840734291,2.957437367047879,4.07912375015984,1.1216863831119612,ViT
vit_b_16,ig,n03899768,patio,0,1538,zoom_blur,blur,3,0.005413006525486708,0.005114425905048847,0.0002985806204378605,0,0,0.25309027344237733,0.369194298270246,11.675606442370409,1.657749711324688,2.089792043147611,0.43204233182292295,ViT
vit_b_16,rollout,n03899768,patio,0,1538,zoom_blur,blur,4,0.005413006525486708,0.0029318006709218025,0.002481205854564905,0,0,0.42306329293358846,0.5743867314874498,7.414338098350132,2.6878017347416643,3.9340565922755215,1.2462548575338572,ViT
vit_b_16,cam,n03899768,patio,0,1538,zoom_blur,blur,4,0.005413006525486708,0.0029318006709218025,0.002481205854564905,0,0,0.1771053248885761,0.26140283055020486,12.558478636863413,2.957437367047879,4.531304769080288,1.573867402032409,ViT
