wnid,name,rel_drop_mean,rmce_mean,acc_clean_mean
n01534433,junco,0.21528442584844257,0.829876356879252,1.0
n03196217,digital_clock,0.2156627231898347,0.5747274931661929,0.68
n01773157,black_and_gold_garden_spider,0.21694732745199788,0.8001667359141873,0.9466666666666667
n01667778,terrapin,0.21722125420873004,0.4697824348310083,0.56
n03956157,planetarium,0.21768093339984793,0.7782098113888246,0.9266666666666667
n04252077,snowmobile,0.21870135056118886,0.8299615037351543,0.98
n01560419,bulbul,0.21881616067500068,0.755646481805857,0.9
n02033041,dowitcher,0.21973850763352357,0.7968962287464249,0.9333333333333332
n02447366,badger,0.21983027380814066,0.8051066104823098,0.94
n02071294,killer_whale,0.22226570643154842,0.8454164116774813,0.9933333333333333
n04252225,snowplow,0.22638508390784037,0.8201513628832867,0.9333333333333332
n02109525,Saint_Bernard,0.22638757253697683,0.833465758534598,0.9533333333333333
