model,family,class,corruption,severity,method,iou,centroid_shift,prob_corr,correct,abs_delta_hf_energy,abs_delta_edge_strength,abs_delta_entropy,abs_delta_contrast,abs_delta_brightness
resnet101,CNN,velvet,contrast,1,cam,0.8585708996667901,6.344997665904357,0.24402280151844025,True,0.011263804975897074,0.010216704569756985,1.2122310910002803,0.09928002953529358,0.0018322914838790894
resnet101,CNN,velvet,contrast,2,cam,0.8251227049627341,8.062626592826668,0.16184203326702118,True,0.012893054634332657,0.011916497722268105,1.6705447680963772,0.11583169177174568,0.0020167678594589233
resnet101,CNN,velvet,contrast,3,cam,0.7967072297780959,9.706490685001476,0.12252643704414368,True,0.014174963464029133,0.013611420290544629,2.160865168579252,0.13233520463109016,0.0021793097257614136
resnet101,CNN,velvet,contrast,4,cam,0.7555516698723553,12.38315320560972,0.020308861508965492,False,0.015001675288658589,0.015333556453697383,2.9623677248244746,0.1488721650093794,0.001977682113647461
resnet101,CNN,velvet,contrast,5,cam,0.6713833860496088,12.082834291214871,0.015307432971894741,False,0.015213489612506237,0.016158168320544064,3.7723491868602155,0.15726466290652752,0.001851409673690796
resnet101,CNN,velvet,elastic_transform,1,cam,0.6342713077423552,8.282451770196428,0.09011455625295639,True,0.003320898860692978,0.0012101884931325912,0.01602557633740531,0.0009309053421020508,0.0014119595289230347
resnet101,CNN,velvet,elastic_transform,2,cam,0.6093612246533622,7.29106190263014,0.034961748868227005,False,0.0022820988669991493,0.0009017400443553925,0.018014337817180426,0.0013343095779418945,0.0017877072095870972
resnet101,CNN,velvet,elastic_transform,3,cam,0.6083299959951942,6.081008927069278,0.015278046019375324,False,0.0014648186042904854,0.00028526969254016876,0.008195557616855531,7.121264934539795e-05,0.0007215738296508789
resnet101,CNN,velvet,elastic_transform,4,cam,0.5060376509412735,16.240201579972634,0.013631254434585571,False,0.0007040584459900856,0.0001808367669582367,0.015499485265920931,0.0012262910604476929,0.001575469970703125
resnet101,CNN,velvet,elastic_transform,5,cam,0.500186776242062,16.039749770614918,0.0024509860668331385,False,0.00035485904663801193,0.0006542056798934937,0.02874340023591504,0.0017616748809814453,0.0027319341897964478
