model,family,class,corruption,severity,method,iou,centroid_shift,prob_corr,correct,abs_delta_hf_energy,abs_delta_edge_strength,abs_delta_entropy,abs_delta_contrast,abs_delta_brightness
resnet101,CNN,backpack,contrast,4,cam,0.6215866860559056,12.019635560939657,0.2480822056531906,True,0.027833350643049926,0.03338070586323738,2.988535922488832,0.1813692469149828,0.00203096866607666
resnet101,CNN,backpack,contrast,5,cam,0.5387917816620669,15.423351746334555,0.22061596810817719,True,0.02818468770419713,0.03526492998935282,3.903800614619736,0.19142573419958353,0.0020135343074798584
resnet101,CNN,backpack,elastic_transform,1,cam,0.6453807689154849,1.9498808971913153,0.00786038301885128,False,0.004999067634344101,0.002993490546941757,0.01907927480626892,0.0024830251932144165,0.0029940754175186157
resnet101,CNN,backpack,elastic_transform,2,cam,0.6379957564876775,9.314313954581522,0.0032023077365010977,False,0.00352528877556324,0.0026633739471435547,0.01758234807081216,0.0044831931591033936,0.002868950366973877
resnet101,CNN,backpack,elastic_transform,3,cam,0.5790591567023285,17.865537941393796,0.0025671604089438915,False,0.0004084799438714981,0.0009915269911289215,0.028842516957459097,0.004573434591293335,0.0047853440046310425
resnet101,CNN,backpack,elastic_transform,4,cam,0.1171266414422435,20.253517407464205,0.0011309280525892973,False,2.6579946279525757e-05,0.0004857257008552551,0.00019240516870500102,0.0018000304698944092,0.000895380973815918
resnet101,CNN,backpack,elastic_transform,5,cam,0.23444034440344402,8.255588715342205,0.0007754181860946119,False,0.005646316334605217,0.002287615090608597,0.021813464070477018,0.0023946762084960938,0.003226563334465027
resnet101,CNN,backpack,pixelate,1,cam,0.6184486373165619,9.62800714236275,0.4185825288295746,True,0.004938414320349693,0.0045242346823215485,0.016372040857858927,0.0028773099184036255,0.0015661418437957764
resnet101,CNN,backpack,pixelate,2,cam,0.3773416592328278,17.04005750078472,0.006546404678374529,False,0.006220702081918716,0.00520024448633194,0.016336102661015595,0.003593742847442627,0.0019639432430267334
resnet101,CNN,backpack,pixelate,3,cam,0.47974068071312803,23.22971912511096,0.00454019196331501,False,0.007660536095499992,0.007610287517309189,0.037589771310533315,0.0058503299951553345,0.0007482767105102539
resnet101,CNN,backpack,pixelate,4,cam,0.1717454757734968,28.96610687725178,0.00044217289541848004,False,0.007654307410120964,0.010770563036203384,0.04227189463536707,0.008627966046333313,0.00041100382804870605
resnet101,CNN,backpack,pixelate,5,cam,0.17263539171583805,16.606878417930922,0.00133236194960773,False,0.008902056142687798,0.012898001819849014,0.05709602477331188,0.01043003797531128,0.0009845197200775146
resnet101,CNN,backpack,jpeg_compression,1,cam,0.6981387478849408,10.321264538559541,0.05278884992003441,False,0.001704016700387001,5.971640348434448e-06,0.01649698040543779,0.0006340295076370239,0.0003534555435180664
resnet101,CNN,backpack,jpeg_compression,2,cam,0.5327987781596029,12.264581814229947,0.06667090952396393,False,0.0023461543023586273,0.00024672970175743103,0.016524424996913645,0.0008883178234100342,7.998943328857422e-05
resnet101,CNN,backpack,jpeg_compression,3,cam,0.4758823529411765,15.880489902853615,0.04430670663714409,False,0.002507375553250313,0.0005276575684547424,0.007010639429154253,0.0008854568004608154,0.00013047456741333008
resnet101,CNN,backpack,jpeg_compression,4,cam,0.6854479805189353,5.101811453417354,0.0313962921500206,False,0.003097185865044594,0.0010965168476104736,0.11322650682382296,0.0011298954486846924,0.000217437744140625
resnet101,CNN,backpack,jpeg_compression,5,cam,0.5761287789556341,13.62105904971924,0.06511349231004715,True,0.003241792321205139,0.0020690038800239563,0.3113331436373299,0.0009559690952301025,0.00024831295013427734
resnet101,CNN,velvet,gaussian_noise,1,cam,0.7057424396873938,11.127275178787873,0.00662514753639698,False,0.02940013725310564,0.029188815504312515,0.11868142972833873,0.0002529919147491455,0.00806194543838501
resnet101,CNN,velvet,gaussian_noise,2,cam,0.6879623402824478,6.17290341040367,0.0035228219348937273,False,0.05610706005245447,0.044515419751405716,0.1793806718382145,0.0014792978763580322,0.01712527871131897
resnet101,CNN,velvet,gaussian_noise,3,cam,0.43798338584932683,12.674272633435267,0.0002928915782831609,False,0.10051351878792048,0.06700053811073303,0.27322902292637163,0.007121637463569641,0.0326947420835495
resnet101,CNN,velvet,gaussian_noise,4,cam,0.48564664101805266,15.197469472963412,9.331202454632148e-05,False,0.15948999766260386,0.09597145020961761,0.39432214954846767,0.020765304565429688,0.0542878657579422
resnet101,CNN,velvet,gaussian_noise,5,cam,0.39106338759958437,21.43861063143988,0.00013430834223981947,False,0.2285458231344819,0.13448351621627808,0.5546620641373678,0.04210774600505829,0.0870680958032608
